GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Banking_App,com.richert.banking_app.mapper,ManagerMapperImpl,3,0,0,0,1,0,1,0,1,0
Banking_App,com.richert.banking_app.mapper,AccountMapper,3,0,0,0,1,0,1,0,1,0
Banking_App,com.richert.banking_app.mapper,AgreementMapperImpl,52,140,14,14,18,45,13,8,0,7
Banking_App,com.richert.banking_app.mapper,ClientMapper,0,11,0,0,0,2,0,1,0,1
Banking_App,com.richert.banking_app.mapper,AccountMapperImpl,3,0,0,0,1,0,1,0,1,0
Banking_App,com.richert.banking_app.mapper,ClientMapperImpl,58,213,13,13,18,62,12,9,0,8
Banking_App,com.richert.banking_app.controller,ClientController,0,16,0,0,0,3,0,3,0,3
Banking_App,com.richert.banking_app.controller,ProductController,3,0,0,0,1,0,1,0,1,0
Banking_App,com.richert.banking_app.controller,TransactionController,3,0,0,0,1,0,1,0,1,0
Banking_App,com.richert.banking_app.controller,AgreementController,0,11,0,0,0,2,0,2,0,2
Banking_App,com.richert.banking_app.controller,AccountController,3,0,0,0,1,0,1,0,1,0
Banking_App,com.richert.banking_app.controller,ExceptionHandlerController,57,3,0,0,19,1,6,1,6,1
Banking_App,com.richert.banking_app.service.util,RequestChecker,7,32,2,6,1,4,3,3,1,1
Banking_App,com.richert.banking_app.generator,UuidTimeSequenceGenerator,5,115,0,14,0,20,1,13,1,6
Banking_App,com.richert.banking_app.service.impl,AgreementServiceImpl,0,17,0,0,0,2,0,2,0,2
Banking_App,com.richert.banking_app.service.impl,ClientServiceImpl,0,32,0,0,0,5,0,3,0,3
Banking_App,com.richert.banking_app.service.impl,ManagerServiceImpl,0,3,0,0,0,1,0,1,0,1
